env_id,slice,family,canonical_config,reference_seed,size,horizon,optimal_actions,n_cells,n_free_cells,betti_z2,betti_z2_sealed,homology
TopoGym/Dilution-50-v0,GridWorld2D,Dilution,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-ctr-bl-open-slip0-seed0,0,50,180,60,2500,2473,1 0 0,2 1 0,H0=Z; H1=0; H2=0
TopoGym/Dilution-200-v0,GridWorld2D,Dilution,TG-GridWorld2D-S200-C1-D0-cs8-ds8-sep2-shpSq-ctr-bl-open-slip0-seed0,0,200,630,210,40000,39973,1 0 0,2 1 0,H0=Z; H1=0; H2=0
TopoGym/Chambers2-50-v0,GridWorld2D,Chambers,TG-GridWorld2D-S50-C2-D0-cs8-ds8-sep2-shpSq-per-bl-open-slip0-seed0,0,50,180,60,2500,2446,1 0 0,3 2 0,H0=Z; H1=0; H2=0
TopoGym/Chambers2-100-v0,GridWorld2D,Chambers,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-bl-open-slip0-seed0,0,100,330,110,10000,9946,1 0 0,3 2 0,H0=Z; H1=0; H2=0
TopoGym/Chambers2-200-v0,GridWorld2D,Chambers,TG-GridWorld2D-S200-C2-D0-cs8-ds8-sep2-shpSq-per-bl-open-slip0-seed0,0,200,630,210,40000,39946,1 0 0,3 2 0,H0=Z; H1=0; H2=0
TopoGym/Chambers2-400-v0,GridWorld2D,Chambers,TG-GridWorld2D-S400-C2-D0-cs8-ds8-sep2-shpSq-per-bl-open-slip0-seed0,0,400,1230,410,160000,159946,1 0 0,3 2 0,H0=Z; H1=0; H2=0
TopoGym/ChamberCount1-200-v0,GridWorld2D,ChamberCount,TG-GridWorld2D-S200-C1-D0-cs8-ds8-sep2-shpSq-per-sc-open-slip0-seed0,0,200,600,197,40000,39973,1 0 0,2 1 0,H0=Z; H1=0; H2=0
TopoGym/ChamberCount2-200-v0,GridWorld2D,ChamberCount,TG-GridWorld2D-S200-C2-D0-cs8-ds8-sep2-shpSq-per-sc-open-slip0-seed0,0,200,600,197,40000,39946,1 0 0,3 2 0,H0=Z; H1=0; H2=0
TopoGym/ChamberCount4-200-v0,GridWorld2D,ChamberCount,TG-GridWorld2D-S200-C4-D0-cs8-ds8-sep2-shpSq-per-sc-open-slip0-seed0,0,200,620,206,40000,39892,1 0 0,5 4 0,H0=Z; H1=0; H2=0
TopoGym/ChamberCount8-200-v0,GridWorld2D,ChamberCount,TG-GridWorld2D-S200-C8-D0-cs8-ds8-sep2-shpSq-per-sc-open-slip0-seed0,0,200,630,207,40000,39784,1 0 0,9 8 0,H0=Z; H1=0; H2=0
TopoGym/Decoys0-50-v0,GridWorld2D,Decoys,TG-GridWorld2D-S50-C1-D0-cs8-ds8-sep2-shpSq-ctr-ring-bl-open-slip0-seed0,0,50,180,60,2500,2473,1 0 0,2 1 0,H0=Z; H1=0; H2=0
