split,unit,template_id,slice,family,size,seed,placement_jitter,canonical_config,horizon,optimal_actions,n_free_cells,betti_z2,betti_z2_sealed
train,BankRobber,TopoGym/BankRobber-v0,Texture,BankRobber,50,2000,0,TG-Texture-BankRobber-seed2000,390,127,2216,1 0 0,5 4 0
train,BankRobber,TopoGym/BankRobber-v0,Texture,BankRobber,50,2001,0,TG-Texture-BankRobber-seed2001,340,111,2216,1 0 0,5 4 0
train,BankRobber,TopoGym/BankRobber-v0,Texture,BankRobber,50,2002,0,TG-Texture-BankRobber-seed2002,520,171,2216,1 0 0,5 4 0
train,BankRobber,TopoGym/BankRobber-v0,Texture,BankRobber,50,2003,0,TG-Texture-BankRobber-seed2003,300,100,2216,1 0 0,5 4 0
train,BankRobber,TopoGym/BankRobber-v0,Texture,BankRobber,50,2004,0,TG-Texture-BankRobber-seed2004,340,113,2216,1 0 0,5 4 0
train,BankRobber,TopoGym/BankRobber-v0,Texture,BankRobber,50,2005,0,TG-Texture-BankRobber-seed2005,410,136,2216,1 0 0,5 4 0
train,Bottleneck3-100,TopoGym/Bottleneck3-100-v0,GridWorld2D,Bottleneck,100,2000,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl3-rm6-j6-corridor-slip0-seed2000,350,115,3471,1 0 0,1 0 0
train,Bottleneck3-100,TopoGym/Bottleneck3-100-v0,GridWorld2D,Bottleneck,100,2001,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl3-rm6-j6-corridor-slip0-seed2001,360,118,3471,1 0 0,1 0 0
train,Bottleneck3-100,TopoGym/Bottleneck3-100-v0,GridWorld2D,Bottleneck,100,2002,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl3-rm6-j6-corridor-slip0-seed2002,430,143,3471,1 0 0,1 0 0
train,Bottleneck3-100,TopoGym/Bottleneck3-100-v0,GridWorld2D,Bottleneck,100,2003,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl3-rm6-j6-corridor-slip0-seed2003,590,194,3471,1 0 0,1 0 0
train,Bottleneck3-100,TopoGym/Bottleneck3-100-v0,GridWorld2D,Bottleneck,100,2004,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl3-rm6-j6-corridor-slip0-seed2004,420,139,3471,1 0 0,1 0 0
train,Bottleneck3-100,TopoGym/Bottleneck3-100-v0,GridWorld2D,Bottleneck,100,2005,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl3-rm6-j6-corridor-slip0-seed2005,310,101,3471,1 0 0,1 0 0
train,Bottleneck6-100,TopoGym/Bottleneck6-100-v0,GridWorld2D,Bottleneck,100,2000,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl6-rm6-j6-corridor-slip0-seed2000,380,125,3486,1 0 0,1 0 0
train,Bottleneck6-100,TopoGym/Bottleneck6-100-v0,GridWorld2D,Bottleneck,100,2001,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl6-rm6-j6-corridor-slip0-seed2001,390,128,3486,1 0 0,1 0 0
train,Bottleneck6-100,TopoGym/Bottleneck6-100-v0,GridWorld2D,Bottleneck,100,2002,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl6-rm6-j6-corridor-slip0-seed2002,460,153,3486,1 0 0,1 0 0
train,Bottleneck6-100,TopoGym/Bottleneck6-100-v0,GridWorld2D,Bottleneck,100,2003,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl6-rm6-j6-corridor-slip0-seed2003,630,207,3486,1 0 0,1 0 0
train,Bottleneck6-100,TopoGym/Bottleneck6-100-v0,GridWorld2D,Bottleneck,100,2004,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl6-rm6-j6-corridor-slip0-seed2004,450,148,3486,1 0 0,1 0 0
train,Bottleneck6-100,TopoGym/Bottleneck6-100-v0,GridWorld2D,Bottleneck,100,2005,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl6-rm6-j6-corridor-slip0-seed2005,330,110,3486,1 0 0,1 0 0
train,ChamberCount1-100,TopoGym/ChamberCount1-200-v0,GridWorld2D,ChamberCount,100,2000,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2000,290,95,9973,1 0 0,2 1 0
train,ChamberCount1-100,TopoGym/ChamberCount1-200-v0,GridWorld2D,ChamberCount,100,2001,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2001,330,107,9973,1 0 0,2 1 0
train,ChamberCount1-100,TopoGym/ChamberCount1-200-v0,GridWorld2D,ChamberCount,100,2002,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2002,270,90,9973,1 0 0,2 1 0
train,ChamberCount1-100,TopoGym/ChamberCount1-200-v0,GridWorld2D,ChamberCount,100,2003,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2003,280,91,9973,1 0 0,2 1 0
train,ChamberCount1-100,TopoGym/ChamberCount1-200-v0,GridWorld2D,ChamberCount,100,2004,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2004,300,97,9973,1 0 0,2 1 0
train,ChamberCount1-100,TopoGym/ChamberCount1-200-v0,GridWorld2D,ChamberCount,100,2005,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2005,290,96,9973,1 0 0,2 1 0
train,ChamberCount2-100,TopoGym/ChamberCount2-200-v0,GridWorld2D,ChamberCount,100,2000,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2000,290,96,9946,1 0 0,3 2 0
train,ChamberCount2-100,TopoGym/ChamberCount2-200-v0,GridWorld2D,ChamberCount,100,2001,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2001,330,107,9946,1 0 0,3 2 0
train,ChamberCount2-100,TopoGym/ChamberCount2-200-v0,GridWorld2D,ChamberCount,100,2002,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2002,310,102,9946,1 0 0,3 2 0
train,ChamberCount2-100,TopoGym/ChamberCount2-200-v0,GridWorld2D,ChamberCount,100,2003,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2003,330,109,9946,1 0 0,3 2 0
train,ChamberCount2-100,TopoGym/ChamberCount2-200-v0,GridWorld2D,ChamberCount,100,2004,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2004,320,106,9946,1 0 0,3 2 0
train,ChamberCount2-100,TopoGym/ChamberCount2-200-v0,GridWorld2D,ChamberCount,100,2005,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2005,290,96,9946,1 0 0,3 2 0
train,ChamberCount4-100,TopoGym/ChamberCount4-200-v0,GridWorld2D,ChamberCount,100,2000,6,TG-GridWorld2D-S100-C4-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2000,320,106,9892,1 0 0,5 4 0
train,ChamberCount4-100,TopoGym/ChamberCount4-200-v0,GridWorld2D,ChamberCount,100,2001,6,TG-GridWorld2D-S100-C4-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2001,330,107,9892,1 0 0,5 4 0
train,ChamberCount4-100,TopoGym/ChamberCount4-200-v0,GridWorld2D,ChamberCount,100,2002,6,TG-GridWorld2D-S100-C4-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2002,330,108,9892,1 0 0,5 4 0
train,ChamberCount4-100,TopoGym/ChamberCount4-200-v0,GridWorld2D,ChamberCount,100,2003,6,TG-GridWorld2D-S100-C4-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2003,280,93,9892,1 0 0,5 4 0
train,ChamberCount4-100,TopoGym/ChamberCount4-200-v0,GridWorld2D,ChamberCount,100,2004,6,TG-GridWorld2D-S100-C4-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2004,300,97,9892,1 0 0,5 4 0
train,ChamberCount4-100,TopoGym/ChamberCount4-200-v0,GridWorld2D,ChamberCount,100,2005,6,TG-GridWorld2D-S100-C4-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2005,290,96,9892,1 0 0,5 4 0
train,ChamberCount8-100,TopoGym/ChamberCount8-200-v0,GridWorld2D,ChamberCount,100,2000,6,TG-GridWorld2D-S100-C8-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2000,300,99,9784,1 0 0,9 8 0
train,ChamberCount8-100,TopoGym/ChamberCount8-200-v0,GridWorld2D,ChamberCount,100,2001,6,TG-GridWorld2D-S100-C8-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2001,210,67,9784,1 0 0,9 8 0
train,ChamberCount8-100,TopoGym/ChamberCount8-200-v0,GridWorld2D,ChamberCount,100,2002,6,TG-GridWorld2D-S100-C8-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2002,170,56,9784,1 0 0,9 8 0
train,ChamberCount8-100,TopoGym/ChamberCount8-200-v0,GridWorld2D,ChamberCount,100,2003,6,TG-GridWorld2D-S100-C8-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2003,280,91,9784,1 0 0,9 8 0
train,ChamberCount8-100,TopoGym/ChamberCount8-200-v0,GridWorld2D,ChamberCount,100,2004,6,TG-GridWorld2D-S100-C8-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2004,280,91,9784,1 0 0,9 8 0
train,ChamberCount8-100,TopoGym/ChamberCount8-200-v0,GridWorld2D,ChamberCount,100,2005,6,TG-GridWorld2D-S100-C8-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed2005,180,60,9784,1 0 0,9 8 0
train,Chambers2-100,TopoGym/Chambers2-100-v0,GridWorld2D,Chambers,100,2000,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j6-open-slip0-seed2000,340,111,9946,1 0 0,3 2 0
train,Chambers2-100,TopoGym/Chambers2-100-v0,GridWorld2D,Chambers,100,2001,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j6-open-slip0-seed2001,350,116,9946,1 0 0,3 2 0
train,Chambers2-100,TopoGym/Chambers2-100-v0,GridWorld2D,Chambers,100,2002,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j6-open-slip0-seed2002,340,113,9946,1 0 0,3 2 0
train,Chambers2-100,TopoGym/Chambers2-100-v0,GridWorld2D,Chambers,100,2003,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j6-open-slip0-seed2003,330,110,9946,1 0 0,3 2 0
train,Chambers2-100,TopoGym/Chambers2-100-v0,GridWorld2D,Chambers,100,2004,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-bl-j6-open-slip0-seed2004,360,117,9946,1 0 0,3 2 0
