split,unit,aliases,template_id,slice,family,size,seed,placement_jitter,canonical_config,horizon,optimal_actions,n_free_cells,betti_z2,betti_z2_sealed
tune,BankRobber,,TopoGym/BankRobber-v0,Texture,BankRobber,50,1000,0,TG-Texture-BankRobber-seed1000,370,123,2216,1 0 0,5 4 0
tune,BankRobber,,TopoGym/BankRobber-v0,Texture,BankRobber,50,1001,0,TG-Texture-BankRobber-seed1001,390,130,2216,1 0 0,5 4 0
tune,BankRobber,,TopoGym/BankRobber-v0,Texture,BankRobber,50,1002,0,TG-Texture-BankRobber-seed1002,310,103,2216,1 0 0,5 4 0
tune,Bottleneck3-100,,TopoGym/Bottleneck3-100-v0,GridWorld2D,Bottleneck,100,1000,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl3-rm6-j6-corridor-slip0-seed1000,300,97,3471,1 0 0,1 0 0
tune,Bottleneck3-100,,TopoGym/Bottleneck3-100-v0,GridWorld2D,Bottleneck,100,1001,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl3-rm6-j6-corridor-slip0-seed1001,620,206,3471,1 0 0,1 0 0
tune,Bottleneck3-100,,TopoGym/Bottleneck3-100-v0,GridWorld2D,Bottleneck,100,1002,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl3-rm6-j6-corridor-slip0-seed1002,370,121,3471,1 0 0,1 0 0
tune,Bottleneck3-200,,TopoGym/Bottleneck3-100-v0,GridWorld2D,Bottleneck,200,1000,12,TG-GridWorld2D-S200-C0-D0-cs24-ds8-sep2-shpSq-cl3-rm6-j12-corridor-slip0-seed1000,450,149,3471,1 0 0,1 0 0
tune,Bottleneck3-200,,TopoGym/Bottleneck3-100-v0,GridWorld2D,Bottleneck,200,1001,12,TG-GridWorld2D-S200-C0-D0-cs24-ds8-sep2-shpSq-cl3-rm6-j12-corridor-slip0-seed1001,570,190,3471,1 0 0,1 0 0
tune,Bottleneck3-200,,TopoGym/Bottleneck3-100-v0,GridWorld2D,Bottleneck,200,1002,12,TG-GridWorld2D-S200-C0-D0-cs24-ds8-sep2-shpSq-cl3-rm6-j12-corridor-slip0-seed1002,320,106,3471,1 0 0,1 0 0
tune,Bottleneck6-100,,TopoGym/Bottleneck6-100-v0,GridWorld2D,Bottleneck,100,1000,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl6-rm6-j6-corridor-slip0-seed1000,310,102,3486,1 0 0,1 0 0
tune,Bottleneck6-100,,TopoGym/Bottleneck6-100-v0,GridWorld2D,Bottleneck,100,1001,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl6-rm6-j6-corridor-slip0-seed1001,660,220,3486,1 0 0,1 0 0
tune,Bottleneck6-100,,TopoGym/Bottleneck6-100-v0,GridWorld2D,Bottleneck,100,1002,6,TG-GridWorld2D-S100-C0-D0-cs24-ds8-sep2-shpSq-cl6-rm6-j6-corridor-slip0-seed1002,410,134,3486,1 0 0,1 0 0
tune,Bottleneck6-200,,TopoGym/Bottleneck6-100-v0,GridWorld2D,Bottleneck,200,1000,12,TG-GridWorld2D-S200-C0-D0-cs24-ds8-sep2-shpSq-cl6-rm6-j12-corridor-slip0-seed1000,360,118,3486,1 0 0,1 0 0
tune,Bottleneck6-200,,TopoGym/Bottleneck6-100-v0,GridWorld2D,Bottleneck,200,1001,12,TG-GridWorld2D-S200-C0-D0-cs24-ds8-sep2-shpSq-cl6-rm6-j12-corridor-slip0-seed1001,610,201,3486,1 0 0,1 0 0
tune,Bottleneck6-200,,TopoGym/Bottleneck6-100-v0,GridWorld2D,Bottleneck,200,1002,12,TG-GridWorld2D-S200-C0-D0-cs24-ds8-sep2-shpSq-cl6-rm6-j12-corridor-slip0-seed1002,300,98,3486,1 0 0,1 0 0
tune,ChamberCount1-100,,TopoGym/ChamberCount1-200-v0,GridWorld2D,ChamberCount,100,1000,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed1000,300,100,9973,1 0 0,2 1 0
tune,ChamberCount1-100,,TopoGym/ChamberCount1-200-v0,GridWorld2D,ChamberCount,100,1001,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed1001,310,102,9973,1 0 0,2 1 0
tune,ChamberCount1-100,,TopoGym/ChamberCount1-200-v0,GridWorld2D,ChamberCount,100,1002,6,TG-GridWorld2D-S100-C1-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed1002,290,96,9973,1 0 0,2 1 0
tune,ChamberCount1-200,,TopoGym/ChamberCount1-200-v0,GridWorld2D,ChamberCount,200,1000,12,TG-GridWorld2D-S200-C1-D0-cs8-ds8-sep2-shpSq-per-sc-j12-open-slip0-seed1000,590,194,39973,1 0 0,2 1 0
tune,ChamberCount1-200,,TopoGym/ChamberCount1-200-v0,GridWorld2D,ChamberCount,200,1001,12,TG-GridWorld2D-S200-C1-D0-cs8-ds8-sep2-shpSq-per-sc-j12-open-slip0-seed1001,600,198,39973,1 0 0,2 1 0
tune,ChamberCount1-200,,TopoGym/ChamberCount1-200-v0,GridWorld2D,ChamberCount,200,1002,12,TG-GridWorld2D-S200-C1-D0-cs8-ds8-sep2-shpSq-per-sc-j12-open-slip0-seed1002,580,193,39973,1 0 0,2 1 0
tune,ChamberCount2-100,,TopoGym/ChamberCount2-200-v0,GridWorld2D,ChamberCount,100,1000,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed1000,300,98,9946,1 0 0,3 2 0
tune,ChamberCount2-100,,TopoGym/ChamberCount2-200-v0,GridWorld2D,ChamberCount,100,1001,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed1001,310,102,9946,1 0 0,3 2 0
tune,ChamberCount2-100,,TopoGym/ChamberCount2-200-v0,GridWorld2D,ChamberCount,100,1002,6,TG-GridWorld2D-S100-C2-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed1002,290,96,9946,1 0 0,3 2 0
tune,ChamberCount2-200,,TopoGym/ChamberCount2-200-v0,GridWorld2D,ChamberCount,200,1000,12,TG-GridWorld2D-S200-C2-D0-cs8-ds8-sep2-shpSq-per-sc-j12-open-slip0-seed1000,580,192,39946,1 0 0,3 2 0
tune,ChamberCount2-200,,TopoGym/ChamberCount2-200-v0,GridWorld2D,ChamberCount,200,1001,12,TG-GridWorld2D-S200-C2-D0-cs8-ds8-sep2-shpSq-per-sc-j12-open-slip0-seed1001,600,198,39946,1 0 0,3 2 0
tune,ChamberCount2-200,,TopoGym/ChamberCount2-200-v0,GridWorld2D,ChamberCount,200,1002,12,TG-GridWorld2D-S200-C2-D0-cs8-ds8-sep2-shpSq-per-sc-j12-open-slip0-seed1002,580,193,39946,1 0 0,3 2 0
tune,ChamberCount4-100,,TopoGym/ChamberCount4-200-v0,GridWorld2D,ChamberCount,100,1000,6,TG-GridWorld2D-S100-C4-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed1000,270,89,9892,1 0 0,5 4 0
tune,ChamberCount4-100,,TopoGym/ChamberCount4-200-v0,GridWorld2D,ChamberCount,100,1001,6,TG-GridWorld2D-S100-C4-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed1001,310,102,9892,1 0 0,5 4 0
tune,ChamberCount4-100,,TopoGym/ChamberCount4-200-v0,GridWorld2D,ChamberCount,100,1002,6,TG-GridWorld2D-S100-C4-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed1002,300,99,9892,1 0 0,5 4 0
tune,ChamberCount4-200,,TopoGym/ChamberCount4-200-v0,GridWorld2D,ChamberCount,200,1000,12,TG-GridWorld2D-S200-C4-D0-cs8-ds8-sep2-shpSq-per-sc-j12-open-slip0-seed1000,550,183,39892,1 0 0,5 4 0
tune,ChamberCount4-200,,TopoGym/ChamberCount4-200-v0,GridWorld2D,ChamberCount,200,1001,12,TG-GridWorld2D-S200-C4-D0-cs8-ds8-sep2-shpSq-per-sc-j12-open-slip0-seed1001,600,198,39892,1 0 0,5 4 0
tune,ChamberCount4-200,,TopoGym/ChamberCount4-200-v0,GridWorld2D,ChamberCount,200,1002,12,TG-GridWorld2D-S200-C4-D0-cs8-ds8-sep2-shpSq-per-sc-j12-open-slip0-seed1002,570,190,39892,1 0 0,5 4 0
tune,ChamberCount8-100,,TopoGym/ChamberCount8-200-v0,GridWorld2D,ChamberCount,100,1000,6,TG-GridWorld2D-S100-C8-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed1000,180,58,9784,1 0 0,9 8 0
tune,ChamberCount8-100,,TopoGym/ChamberCount8-200-v0,GridWorld2D,ChamberCount,100,1001,6,TG-GridWorld2D-S100-C8-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed1001,300,99,9784,1 0 0,9 8 0
tune,ChamberCount8-100,,TopoGym/ChamberCount8-200-v0,GridWorld2D,ChamberCount,100,1002,6,TG-GridWorld2D-S100-C8-D0-cs8-ds8-sep2-shpSq-per-sc-j6-open-slip0-seed1002,290,96,9784,1 0 0,9 8 0
tune,ChamberCount8-200,,TopoGym/ChamberCount8-200-v0,GridWorld2D,ChamberCount,200,1000,12,TG-GridWorld2D-S200-C8-D0-cs8-ds8-sep2-shpSq-per-sc-j12-open-slip0-seed1000,340,111,39784,1 0 0,9 8 0
tune,ChamberCount8-200,,TopoGym/ChamberCount8-200-v0,GridWorld2D,ChamberCount,200,1001,12,TG-GridWorld2D-S200-C8-D0-cs8-ds8-sep2-shpSq-per-sc-j12-open-slip0-seed1001,590,196,39784,1 0 0,9 8 0
